#miRNA	gene	correlation	pvalue
Macrophages M2	Apc2	0.564451904147102	0.000121033036917919
Macrophages M2	LOC100862012 /// Prdx1	-0.515046855626355	0.000569586718923939
Macrophages M2	Gpr44	0.591394327928202	4.66582284900194e-05
Macrophages M2	Fbxo42	0.535446212883809	0.000309280638012907
Macrophages M2	Ipo11	-0.503692410643963	0.000787278277924261
Macrophages M2	Nrap	0.558993157691276	0.000145369279849532
Macrophages M2	Rnf113a1	0.547366374417301	0.000212525632637082
Macrophages M2	Plxdc1	0.515082207452449	0.0005690029652913
Macrophages M2	Fam114a1	-0.552896066478017	0.000177715073848308
Macrophages M2	Setd1a	0.510243719720167	0.000654061291924791
Macrophages M2	Slc15a3	0.599202583232801	3.48287901194976e-05
Macrophages M2	Dram1	0.545776636109446	0.000223612426650526
Macrophages M2	Sigirr	0.53005313085927	0.000364840516712869
Macrophages M2	Oas1a	0.581597758373874	6.66317868753728e-05
Macrophages M2	Sytl2	-0.582143873114292	6.53409083021292e-05
Macrophages M2	Mlph	0.637114942799582	7.50031517242905e-06
Macrophages M2	C4b /// LOC675521	0.630342121270146	1.00168150321583e-05
Macrophages M2	Marveld3	0.507355751668121	0.000710080146927322
T cells follicular helper	Cxcl1	0.543845253064941	0.000237781724203901
T cells follicular helper	Dppa4	0.532881626365282	0.000334674364882883
T cells follicular helper	Olfr1509	0.525112860102489	0.000423431890818494
T cells follicular helper	Tnfrsf12a	0.524685328717815	0.000428878894381286
T cells follicular helper	Ugcg	0.605633040249833	2.72167223002687e-05
T cells follicular helper	Ccl12 /// LOC100862578	0.58754591155344	5.37423477486145e-05
T cells follicular helper	Il9r	0.515643024782217	0.000559813655534177
T cells follicular helper	Fgf16	0.505747027221823	0.000743107594579751
T cells follicular helper	AF251705	0.598926815619096	3.51949153041309e-05
T cells follicular helper	Ms4a6b	0.539842828142886	0.00026974951498252
T cells follicular helper	Ddx19a /// Ddx19b	0.593254993402254	4.35477789524638e-05
T cells follicular helper	Cyp1a2	0.549712364483479	0.000197068870536911
T cells follicular helper	Zmynd19	0.526149178238573	0.000410485125416066
T cells follicular helper	Ccdc106	0.516421072504232	0.000547284734682014
T cells follicular helper	Iars2	-0.580621198184273	6.89980323077688e-05
T cells follicular helper	Ctla4	0.505286786614614	0.00075280513995542
T cells follicular helper	Zfp707	0.514568314071529	0.000577541588840348
T cells follicular helper	Gm15270	0.509292108817391	0.000672067736970327
T cells follicular helper	Npy6r	0.538983767651808	0.000277095574151557
T cells follicular helper	Rnf113a1	0.588232628196265	5.24106481672343e-05
T cells follicular helper	Fbxo42	0.503648647467969	0.000788244036295735
T cells follicular helper	Cxcl13	0.67163178529994	1.52999056383051e-06
T cells follicular helper	Fndc7	0.508469719036511	0.00068798418585408
T cells follicular helper	Cxcl2	0.572351721113103	9.23114807625845e-05
T cells follicular helper	Efr3a	-0.526269639027109	0.000409003477771664
T cells follicular helper	Arfip2	0.513563429481473	0.000594570062782846
T cells follicular helper	Zfp353	0.529330888069319	0.000372924504803318
T cells follicular helper	Ghitm	-0.509184218930382	0.000674136915535179
T cells follicular helper	Prkar2a	0.556642724387403	0.00015714793839492
T cells follicular helper	Trim30a	0.600157953521083	3.35870758214702e-05
T cells follicular helper	Mlph	0.505510715610438	0.000748072814327284
T cells follicular helper	Hp1bp3	-0.607018234894668	2.57904671439689e-05
T cells follicular helper	1700017B05Rik	0.560642391101297	0.000137587510391747
T cells follicular helper	Marveld3	0.66345054621454	2.27175305622183e-06
Monocytes	Psmd14	0.502526097351244	0.000813379999852947
Monocytes	Gm10193 /// Zfp706	0.524163550757603	0.000435611730169021
Monocytes	Hsd3b5	-0.554384903916895	0.000169267723265009
Monocytes	Ly6h	-0.600830715438147	3.2737044243755e-05
Monocytes	Marveld3	-0.591305873534913	4.68110115582238e-05
Monocytes	1700017B05Rik	-0.579449972633242	7.19364979451751e-05
Monocytes	Lbx1	-0.536592799111083	0.000298498719654142
Monocytes	Hdc	-0.503765210234696	0.00078567408526093
Monocytes	Kcnj11	-0.584958869890496	5.90402570233817e-05
Monocytes	Slc35a3	0.513859296948402	0.000589510360933722
Monocytes	Zfp474	-0.534827110302702	0.000315246790251941
Monocytes	Psmb10	-0.537735624664482	0.000288089742758134
Monocytes	Cxcl15	-0.508117332061604	0.000694906606965761
Monocytes	Rnase4	0.523056655149142	0.000450209360321285
Monocytes	Exo1	-0.523539399102393	0.000443789922014413
Monocytes	Pcdhb6	-0.51031123823965	0.000652800225652445
Monocytes	Arfip2	-0.533268009473804	0.000330732464633036
Monocytes	Acsf3	-0.500463286853398	0.000861438520553155
Monocytes	Inpp4a	-0.526336802931579	0.000408179457516216
Monocytes	Fndc7	-0.528623754090333	0.00038099479660406
Monocytes	Qsox1	-0.553464057722316	0.000174448515996476
Monocytes	Kctd12	0.544487365657498	0.000232983677955545
Monocytes	Srsf1	0.543396250550122	0.000241189494558748
Monocytes	Mettl7b	-0.556875169446694	0.000155945826851926
Monocytes	Tbk1	0.515751995114103	0.000558043595262173
Monocytes	Fbxo42	-0.591760276120874	4.60309555913478e-05
Monocytes	Ipo11	0.563507392457566	0.000124960027585298
Monocytes	Lamp3 /// Ppid	0.58469547504242	5.96054510795501e-05
Monocytes	Sspn	0.541646272572089	0.000254895130385491
Monocytes	Gm15270	-0.549617601857938	0.000197673008854067
Monocytes	Gpr44	-0.541436504623489	0.000256584217010761
Monocytes	Gm2a	-0.519229599381184	0.000504119208174678
Monocytes	Tubgcp4	0.519766836891662	0.000496218438981995
Monocytes	Trim37	0.614627270026558	1.91015686708682e-05
Monocytes	Dhx8	-0.526523061260383	0.000405902077399892
Monocytes	Timp1	-0.521826050453651	0.000466951809996687
Monocytes	Ccdc106	-0.602364254709982	3.08722712683728e-05
Monocytes	Aass	0.50111756268148	0.000845928641487046
Monocytes	Cyp1a2	-0.57403741932	8.70483618989371e-05
Monocytes	Pik3cd	-0.590958292053976	4.74157937666784e-05
Monocytes	Aire	-0.555874370536516	0.000161181380140944
Monocytes	H2-Bl	-0.522051859896898	0.000463838500430063
Monocytes	Tbx3	-0.512722631427915	0.00060916133735496
Monocytes	Il10ra	-0.592286132056003	4.51430220736974e-05
Monocytes	Fbxo9	0.53410326414718	0.000322353386497131
Monocytes	Setd1a	-0.501171785908272	0.000844654488341879
Monocytes	1110001J03Rik	-0.546355185583893	0.000219518703067422
Monocytes	B3galt4	-0.540562742023534	0.000263728852131068
Monocytes	Fam114a1	0.528603113738703	0.000381232694711612
Monocytes	Kif3b	0.618699070116333	1.62139253199448e-05
Monocytes	AF251705	-0.52138999352043	0.000473016904579969
Monocytes	Stt3a	0.50037556436127	0.000863537155295445
Monocytes	Sacm1l	0.565299786356082	0.000117603329171095
Monocytes	Muc5b	-0.534219049711445	0.000321207037346388
Monocytes	Nrap	-0.715235239480518	1.48374959736091e-07
Monocytes	Yme1l1	0.554461256942821	0.000168844455067089
Monocytes	Mt2	-0.529093942150817	0.000375611430969436
Monocytes	Snai3	-0.509209546378334	0.000673650659964054
Monocytes	Prok2	-0.546531533611998	0.000218284398360624
Monocytes	Krt12	-0.516628006733031	0.000543994981899354
Monocytes	Kcnab3	-0.513983042858124	0.000587405593239762
Monocytes	Lyrm2	0.568799630849368	0.000104358058204334
Macrophages M0	Sectm1b	-0.521577203698039	0.000470404415505777
Macrophages M0	Col1a2	0.515662316807859	0.00055949992005368
Macrophages M0	Fndc7	-0.551992011769839	0.000183028391880402
Macrophages M0	Hsdl2	0.571965991561789	9.3555665927106e-05
Macrophages M0	Msx1	-0.522778420511735	0.000453946960419674
Macrophages M0	Fbxo42	-0.627823680016141	1.11350816147698e-05
Macrophages M0	Glud1	0.504020833775509	0.000780064285046732
Macrophages M0	Aass	0.549132813518331	0.000200789889978978
Macrophages M0	Ly6h	-0.572263365068056	9.25951441371443e-05
Macrophages M0	Saal1	-0.511509854230876	0.000630771771072431
Macrophages M0	Notch3	-0.50679258216516	0.000721490020252742
Macrophages M0	Gm10193 /// Zfp706	0.538108007615817	0.000284769268531273
Macrophages M0	C4b /// LOC675521	-0.536900494330238	0.000295663437406795
Macrophages M0	Gm11767	-0.544497502588289	0.000232908636587053
Macrophages M0	Capn2	0.563417294431887	0.000125340587626152
Macrophages M0	Gmpr2	0.505958548869517	0.000738688197437609
Macrophages M0	Pcdhb6	-0.57044035701478	9.86270729108077e-05
Macrophages M0	Sec22b	0.520027180710148	0.000492429781635527
Macrophages M0	Mdfi	-0.547605635286485	0.00021090065285064
Macrophages M0	Snai3	-0.55223609067434	0.000181579938355238
Macrophages M0	Ltbp4	-0.540912562880263	0.000260847194175611
Macrophages M0	Usp13	-0.596247009779968	3.89399590702408e-05
Macrophages M0	Fzd7	-0.566155699723122	0.000114230620286631
Macrophages M0	Cct2	0.567336287763354	0.000109722242138202
Macrophages M0	Il10ra	-0.687234399185154	6.95114899347408e-07
Macrophages M0	Apoa5	-0.540863774431469	0.000261247381629034
Macrophages M0	B3galt4	-0.720436688994078	1.09145983005402e-07
Macrophages M0	Cap1	0.537737241520284	0.0002880752505665
Macrophages M0	AF251705	-0.581398073408413	6.71095475356148e-05
Macrophages M0	Fli1	-0.527742041559994	0.000391276890299004
Macrophages M0	Acsf3	-0.536028599388946	0.00030376118119292
Macrophages M0	Npy6r	-0.526501572143997	0.000406164241835886
Macrophages M0	Ddx1	0.556447855822626	0.000158162165422204
Macrophages M0	Nfatc2	-0.607137402983309	2.56710125439501e-05
Macrophages M0	H2-T10 /// H2-T22 /// H2-T9	-0.540777362443151	0.000261957533033688
Macrophages M0	Lyst	-0.614574237431597	1.91420997241241e-05
Macrophages M0	Sspn	0.56822313820408	0.000106442273028925
Macrophages M0	Tprn	-0.523211196682574	0.000448145298039637
Macrophages M0	Gm2a	-0.522453635018644	0.000458345047319411
Macrophages M0	Rasgrf2	-0.557869436228099	0.000150897122338116
Macrophages M0	Gpr44	-0.516696660269049	0.00054290747199224
Macrophages M0	Psmc2	0.521258229221481	0.000474863440416638
Macrophages M0	Cyp1a2	-0.54245164213418	0.000248502777453648
Macrophages M0	Gm10228 /// Krtap6-1	-0.583558796737222	6.21013971799454e-05
Macrophages M0	Dcbld2	-0.573704097717527	8.80669449679781e-05
Macrophages M0	Dhx8	-0.551361632741679	0.000186817670702893
Macrophages M0	Uap1	0.560541321243542	0.000138053335761831
Macrophages M0	Aire	-0.500887455762979	0.000851354829599556
Macrophages M0	Rnf144b	-0.549701855932519	0.000197135783274039
Macrophages M0	Palm	-0.608956260728683	2.39093844423134e-05
Macrophages M0	Hdc	-0.579280360964591	7.23713274930439e-05
Macrophages M0	Fhit	-0.57680259466869	7.90016183560957e-05
Macrophages M0	Exo1	-0.551031082974499	0.000188832811257991
Macrophages M0	Cxcl15	-0.518104017649047	0.000521038544414114
Macrophages M0	Katna1	0.60223433521892	3.10264105828275e-05
Macrophages M0	Hnrnph2	0.551598859898556	0.000185383441109726
Macrophages M0	Tmem106a	-0.510207420006613	0.000654740172829769
Macrophages M0	Ltc4s	-0.559934021420113	0.000140882510540241
Macrophages M0	Fgf23	-0.505423671903459	0.00074990916087053
Macrophages M0	Tat	-0.6322121186193	9.25415500763582e-06
Macrophages M0	Kctd9	0.534429666547037	0.000319131190381999
Macrophages M0	Itln1 /// Itlnb /// LOC100862527	-0.521866956296851	0.000466386442867497
Macrophages M0	Ddx42	0.634417131937875	8.4234524802097e-06
Macrophages M0	Psrc1	-0.515279821893059	0.000565749663290322
Macrophages M0	Gfi1b	-0.537201159596667	0.000292916355351991
Macrophages M0	Setd1a	-0.646172865121637	5.03772497991256e-06
Macrophages M0	Fgf16	-0.595172036989326	4.05416696168245e-05
Macrophages M0	Stt3a	0.590547940714539	4.81389442664243e-05
Macrophages M0	Hdac2	0.560053256432738	0.000140322938872813
Macrophages M0	Kctd12	0.542602133905163	0.00024732443742531
Macrophages M0	Gpr35	-0.514464364321932	0.000579282638037694
Macrophages M0	Serpina3n	-0.531909756697034	0.000344776716540384
Macrophages M0	Slc13a2	-0.655321120423254	3.32531904616418e-06
