organism	bases	CDS	tRNA	rRNA	tmRNA
Bacillus	4215606	4214	87	30	1
Bacillus	4093599	4042	83	31	1
Bacillus	4111218	4269	88	30	1
Bacillus	4011949	3945	86	30	1
Bacillus	4146839	4125	87	30	1
Bacillus	4043754	4028	85	30	1
Bacillus	4061186	4030	77	27	1
Bacillus	4215610	4216	87	30	1
Bacillus	4021944	3952	89	27	1
Bacillus	4033459	3985	87	30	1
Bacillus	4043042	4004	93	30	1
Bacillus	4188369	4201	87	30	1
Bacillus	4193640	4206	87	30	1
Bacillus	4039155	3991	80	24	1
Bacillus	4057487	4031	74	21	1
Bacillus	3876276	3930	72	21	1
Bacillus	3959897	3723	72	21	
Bacillus	3981674	3781	86	27	1
Bacillus	4079669	4039	84	21	1
Bacillus	4215619	4213	87	30	1
Bacillus	4215367	4216	87	30	1
Bacillus	4195102	4190	87	30	1
Bacillus	4233615	4231	87	30	1
Bacillus	4251652	4248	87	30	1
Bacillus	4215633	4213	87	30	1
Bacillus	4012933	3943	71	21	1
Bacillus	4025326	3962	85	30	1
Bacillus	4090708	4051	87	30	1
Bacillus	4030837	3947	86	30	1
Bacillus	4056281	4000	87	30	1
Bacillus	4193748	4382	88	30	1
Bacillus	4142635	4384	86	30	1
Bacillus	4175482	4102	84	24	1
Bacillus	4195195	4190	87	31	1
Bacillus	3876919	3852	87	30	1
Bacillus	4211343	4212	87	30	1
Bacillus	4214812	4218	87	32	1
Bacillus	4235115	4237	86	30	1
Bacillus	4165121	4182	86	30	1
Bacillus	4010416	4147	87	30	1
Bacillus	4195418	4367	87	30	1
Bacillus	4013819	3930	87	30	1
Bacillus	4117900	4018	87	27	1
Bacillus	4108293	4043	86	30	1
Bacillus	4212430	4410	88	30	1
Bacillus	4204050	4396	88	30	1
Bacillus	4299822	4318	89	30	1
Bacillus	4072961	4012	86	30	1
Bacillus	4142593	4301	89	30	1
Bacillus	3923177	3902	86	31	1
Bacillus	4282516	4164	83	30	1
Bacillus	4199283	4374	87	30	1
Bacillus	3988602	4065	88	30	1
Bacillus	3988649	4052	88	30	1
Bacillus	3988630	4068	88	30	1
Bacillus	4169187	4400	87	30	1
Bacillus	4147173	4091	87	30	1
Bacillus	4065429	3975	89	30	1
Bacillus	4169021	4133	86	30	1
Bacillus	4014255	4148	87	30	1
Bacillus	4196031	4369	87	30	1
Bacillus	4072939	4189	85	30	1
Bacillus	4200488	4302	86	30	1
Bacillus	4226648	4435	88	30	1
Bacillus	4120380	4071	84	28	1
Bacillus	4040837	3972	87	30	1
Bacillus	4326173	5732	85	30	1
Bacillus	4214174	4236	78	27	1
Bacillus	4145727	4157	85	13	1
Bacillus	4202955	4388	87	30	1
Bacillus	4353673	4678	87	30	1
Bacillus	4209346	4461	87	30	1
Bacillus	4199434	4214	86	30	1
Bacillus	4345446	4585	88	33	1
Bacillus	4183830	4374	88	30	1
Bacillus	4187014	4387	88	30	1
Bacillus	4172713	4384	88	30	1
Bacillus	4186799	4376	88	30	1
Bacillus	4350274	4568	94	33	1
Bacillus	4133206	4106	86	30	1
