OTUID	E11P11A02	E11P11A03	E11P11A04	E11P11A05	E11P11A06	E11P11A07	E11P11A10	E11P11B02	E11P11B03	E11P11B04	E11P11B05	E11P11B06	E11P11B11	E11P11B12	E11P11BO1	E11P11C02	E11P11C03	E11P11C04	E11P11C05	E11P11C07	E11P11C08	E11P11D01	E11P11D02	E11P11D03	E11P11D04	E11P11D05	E11P11D09	E11P11D11	E11P11E01	E11P11E02	E11P11E04	E11P11E07	E11P11E08	E11P11E09	E11P11E10	E11P11E12	E11P11F01	E11P11F04	E11P11F06	E11P11F07	E11P11G01	E11P11G02	E11P11G03	E11P11G04	E11P11G05	E11P11G06	E11P11G09	E11P11H01	E11P11H02	E11P11H03	E11P11H04	E11P11H07	E11P11H08	E11P11H12	E12P12C07	E12P12G02	E13P13A06	E13P13A11	E13P13B04	E13P13C03	E13P13C04	E13P13C08	E13P13C10	E13P13C11	E13P13D09	E13P13E01	E13P13E07	E13P13E08	E13P13E09	E13P13E11	E13P13F09	E13P13H04	E13P13H09	E14P14D03	E14P14G10	E1P1A03	E1P1A04	E1P1A06	E1P1A07	E1P1A10	E1P1A11	E1P1B03	E1P1B04	E1P1B10	E1P1C07	E1P1C10	E1P1C11	E1P1D03	E1P1D09	E1P1E01	E1P1E04	E1P1E09	E1P1E10	E1P1E11	E1P1F01	E1P1F04	E1P1F09	E1P1F10	E1P1G06	E1P1G09	E1P1G10	E1P1H01	E1P1H03	E1P1H09	E1P1H10	E2P2A03	E2P2C11	E2P2D09	E2P2E01	E2P2E02	E2P2F01	E2P2FO2	E2P2G02	E2P2H01	E3P3A04	E3P3B03	E3P3B04	E3P3C11	E3P3D02	E3P3G02	E3P3G04	E3P3H02	E4P4A06	E4P4A10	E4P4B04	E4P4B10	E4P4C01	E4P4C04	E4P4C07	E4P4C10	E4P4C11	E4P4D01	E4P4D02	E4P4D07	E4P4D09	E4P4D10	E4P4E01	E4P4E03	E4P4E04	E4P4E09	E4P4E10	E4P4E11	E4P4F01	E4P4F09	E4P4F10	E4P4G02	E4P4G09	E4P4G10	E4P4H01	E4P4H07	E4P4H09	E5P5A02	E5P5A03	E5P5A06	E5P5A07	E5P5A08	E5P5A09	E5P5A10	E5P5B03	E5P5B04	E5P5B06	E5P5B10	E5P5B11	E5P5C02	E5P5C03	E5P5C04	E5P5C06	E5P5C07	E5P5C08	E5P5C10	E5P5C11	E5P5D02	E5P5D06	E5P5D09	E5P5D10	E5P5E01	E5P5E02	E5P5E04	E5P5E08	E5P5E09	E5P5E11	E5P5F04	E5P5F08	E5P5F09	E5P5F10	E5P5G03	E5P5G04	E5P5G06	E5P5G08	E5P5H04	E5P5H06	E5P5H08	E5P5H12	E6P6A04	E6P6A05	E6P6A07	E6P6A08	E6P6A10	E6P6A12	E6P6B03	E6P6B04	E6P6B06	E6P6B10	E6P6B12	E6P6C01	E6P6C03	E6P6C04	E6P6C05	E6P6C06	E6P6C07	E6P6C10	E6P6C11	E6P6D03	E6P6D04	E6P6D06	E6P6D07	E6P6D09	E6P6D10	E6P6E04	E6P6E07	E6P6E10	E6P6E11	E6P6F01	E6P6F04	E6P6F07	E6P6F09	E6P6F10	E6P6G02	E6P6G04	E6P6G05	E6P6G06	E6P6G07	E6P6H02	E6P6H03	E6P6H06	E6P6H07	E6P6H10	KO
ASV_1	1249	1406	1662	959	531	961	652	897	602	1950	602	858	844	648	891	654	1575	2247	581	2141	963	1061	1748	1019	2110	602	1680	91	2398	814	1019	818	801	959	296	49	1948	1174	590	1039	613	1073	694	1281	620	1236	1004	1278	1078	910	591	665	788	548	683	59	46	59	678	797	411	29	373	399	677	74	38	553	1145	56	714	42	126	20	26	741	517	177	275	725	215	198	693	961	298	798	633	112	996	794	365	833	715	593	581	503	1116	760	555	688	830	586	517	782	536	56	583	577	51	22	32	38	31	43	60	670	138	592	54	23	370	35	620	736	941	622	771	840	1014	919	1076	646	672	709	828	1290	1466	582	563	997	700	1106	1261	779	906	559	1088	1245	1066	62	543	119	767	969	982	859	617	1461	1085	1935	816	1242	641	700	1248	1600	708	914	873	1514	1252	1742	1250	1634	1837	1904	1331	944	952	2107	920	544	871	2426	1861	595	1145	901	886	696	970	821	119	712	939	1174	329	673	34	608	1438	653	1317	37	655	659	1659	458	714	1534	1505	1027	673	969	619	1000	850	1137	750	630	814	1039	678	780	759	774	1462	638	901	666	869	703	566	557	994	913	974	Bacillus
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Brevundimonas
ASV_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pseudomonas
ASV_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Rhizobium
ASV_13	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	Bosea
ASV_14	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	16	0	0	1	19	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unassigned
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	3	0	4	0	0	0	2	0	0	1	0	2	0	0	1	0	1	24	10	2	10	13	5	0	18	0	1	0	0	1	1	0	0	0	0	18	2	3	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacillus
ASV_16	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	6	1	3	8	7	0	1	0	0	0	0	0	4	0	0	2	0	8	0	1	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	5	0	0	0	0	1	0	0	13	1	0	0	0	0	0	2	0	0	1	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	Bacillus
ASV_17	0	0	1	0	2	1	2	0	1	0	0	0	0	0	0	1	1	1	3	0	0	5	0	1	0	0	1	1	0	1	4	0	0	0	6	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	2	0	0	7	0	7	1	0	1	3	0	1	0	0	2	1	0	0	0	0	13	6	0	15	19	10	2	9	0	0	0	0	1	3	2	0	0	1	20	0	0	0	1	0	2	1	2	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	4	0	1	0	0	1	4	1	0	0	0	1	0	0	2	4	9	10	0	3	0	0	4	3	0	0	0	0	2	0	0	0	0	1	2	0	7	1	0	1	0	2	0	0	0	1	4	0	0	0	1	0	0	0	2	0	0	0	5	0	0	0	0	0	3	0	0	0	1	0	2	0	2	1	0	0	0	2	0	1	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacillus
ASV_18	3	4	2	2	1	0	0	1	0	1	0	0	2	1	1	0	1	0	2	0	0	1	0	2	0	0	2	0	5	1	0	1	4	2	9	2	4	2	0	0	0	1	0	0	0	1	0	2	1	0	0	1	0	3	1	0	3	9	2	2	21	0	10	1	0	1	0	3	0	1	0	4	2	0	0	2	1	35	29	2	21	43	16	0	21	0	0	0	0	3	23	3	2	0	3	40	3	1	2	0	0	2	0	2	13	3	0	1	3	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	1	0	1	2	2	1	0	0	1	0	0	0	2	4	13	8	2	0	0	6	2	3	4	0	0	20	1	4	2	0	0	0	0	20	6	0	1	0	3	1	0	0	0	0	2	0	1	3	4	0	0	1	4	0	0	24	1	1	0	0	0	0	3	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	13	3	0	0	0	2	0	0	0	0	0	3	0	0	0	1	1	0	1	0	0	Bacillus
