Sample	readssum	SampleID	library	plate	well	row	num
E10P10A12	0	E10P10A12	E10	P10	Negative	A	12
E11P11A12	54	E11P11A12	E11	P11	Negative	A	12
E12P12A12	122	E12P12A12	E12	P12	Negative	A	12
E13P13A12	228	E13P13A12	E13	P13	Negative	A	12
E14P14A12	104	E14P14A12	E14	P14	Negative	A	12
E1P1A12	47	E1P1A12	E1	P1	Negative	A	12
E2P2A12	198	E2P2A12	E2	P2	Negative	A	12
E3P3A12	52	E3P3A12	E3	P3	Negative	A	12
E4P4A12	37	E4P4A12	E4	P4	Negative	A	12
E5P5A12	183	E5P5A12	E5	P5	Negative	A	12
E6P6A12	559	E6P6A12	E6	P6	Negative	A	12
E7P7A12	116	E7P7A12	E7	P7	Negative	A	12
E8P8A12	0	E8P8A12	E8	P8	Negative	A	12
E9P9A12	8	E9P9A12	E9	P9	Negative	A	12
E10P10B12	0	E10P10B12	E10	P10	Positive	B	12
E11P11B12	669	E11P11B12	E11	P11	Positive	B	12
E12P12B12	122	E12P12B12	E12	P12	Positive	B	12
E13P13B12	193	E13P13B12	E13	P13	Positive	B	12
E14P14B12	132	E14P14B12	E14	P14	Positive	B	12
E1P1B12	402	E1P1B12	E1	P1	Positive	B	12
E2P2B12	336	E2P2B12	E2	P2	Positive	B	12
E3P3B12	193	E3P3B12	E3	P3	Positive	B	12
E4P4B12	120	E4P4B12	E4	P4	Positive	B	12
E5P5B12	178	E5P5B12	E5	P5	Positive	B	12
E6P6B12	604	E6P6B12	E6	P6	Positive	B	12
E7P7B12	130	E7P7B12	E7	P7	Positive	B	12
E8P8B12	0	E8P8B12	E8	P8	Positive	B	12
E9P9B12	13	E9P9B12	E9	P9	Positive	B	12
