OTUID	R10P10A07	R10P10A10	R10P10B03	R10P10B04	R10P10B10	R10P10B12	R10P10C03	R10P10C04	R10P10C05	R10P10C07	R10P10C10	R10P10C11	R10P10D02	R10P10D04	R10P10D05	R10P10D09	R10P10D10	R10P10E09	R10P10E10	R10P10E11	R10P10F10	R10P10F11	R10P10FO2	R10P10G10	R10P10H01	R10P10H02	R10P10H04	R10P10H09	R11P11A11	R11P11B10	R11P11C07	R11P11C10	R11P11C11	R11P11D02	R11P11E11	R12P12A02	R12P12A04	R12P12A05	R12P12A06	R12P12A08	R12P12A10	R12P12A11	R12P12A12	R12P12B03	R12P12B04	R12P12B12	R12P12BO1	R12P12C01	R12P12C03	R12P12C04	R12P12C05	R12P12C07	R12P12C10	R12P12C11	R12P12D01	R12P12D02	R12P12D03	R12P12D04	R12P12D07	R12P12D09	R12P12D10	R12P12E01	R12P12E03	R12P12E04	R12P12E07	R12P12E08	R12P12E09	R12P12E10	R12P12E12	R12P12F04	R12P12F09	R12P12F10	R12P12FO2	R12P12G02	R12P12G03	R12P12G04	R12P12G06	R12P12G07	R12P12G10	R12P12H02	R12P12H03	R12P12H04	R12P12H06	R12P12H09	R12P12H10	R12P12H11	R13P13A04	R13P13B10	R13P13B11	R13P13C04	R13P13C07	R13P13C10	R13P13C11	R13P13D04	R13P13D09	R13P13D10	R13P13E09	R13P13E10	R13P13F04	R13P13F10	R13P13FO2	R13P13G02	R13P13G06	R13P13G09	R13P13G10	R13P13H01	R13P13H06	R13P13H09	R13P13H10	R14P14B04	R14P14C03	R14P14C04	R14P14C07	R14P14D04	R14P14G10	R15P15A03	R15P15A07	R15P15B04	R15P15C01	R15P15C04	R15P15C07	R15P15C10	R15P15D02	R15P15D03	R15P15D04	R15P15D07	R15P15D09	R15P15E01	R15P15E04	R15P15E09	R15P15E10	R15P15F04	R15P15F10	R15P15H04	R15P15H06	R15P15H10	R16P16A04	R16P16A07	R16P16B03	R16P16C04	R16P16C05	R16P16C07	R16P16D02	R16P16D03	R16P16D07	R16P16E01	R16P16F04	R16P16H03	R1P1A04	R1P1A05	R1P1D01	R1P1E01	R1P1E04	R1P1F04	R1P1G02	R1P1G04	R1P1G06	R1P1H04	R2P2G02	R3P3C01	R3P3D10	R3P3H01	R5P5C11	R6P6B10	R6P6B12	R6P6D04	R6P6E11	R6P6G07	R6P6G10	R7P7A05	R7P7A11	R7P7B12	R7P7D09	R7P7E01	R7P7F10	R7P7G10	R7P7H06	R8P8A04	R8P8A11	R8P8B04	R8P8B10	R8P8C04	R8P8C07	R8P8C08	R8P8C10	R8P8C11	R8P8D07	R8P8D10	R8P8D11	R8P8E01	R8P8E07	R8P8E08	R8P8E10	R8P8E11	R8P8F03	R8P8F04	R8P8F08	R8P8F09	R8P8F10	R8P8G02	R8P8G06	R8P8G10	R8P8H01	R8P8H02	R8P8H04	R8P8H06	R8P8H07	R9P9A04	R9P9A10	R9P9A11	R9P9B03	R9P9B04	R9P9B11	R9P9C01	R9P9C03	R9P9C07	R9P9C10	R9P9C11	R9P9D07	R9P9E10	R9P9E11	R9P9F10	KO
ASV_1	592	323	338	629	304	418	174	1090	278	998	594	534	564	675	497	556	494	565	628	824	679	39	480	431	243	120	638	156	885	565	135	583	884	451	465	83	249	479	476	448	700	953	417	595	923	476	439	794	601	356	474	826	1096	879	476	1012	609	563	665	1286	1130	560	462	651	101	431	1110	957	44	900	632	1060	960	969	73	618	551	430	954	680	413	577	613	732	894	427	93	547	419	442	552	212	599	407	778	662	753	639	313	696	519	468	524	426	590	95	467	76	327	500	87	387	516	51	487	453	437	426	495	761	626	488	540	131	405	556	451	83	67	444	527	611	438	88	546	529	459	33	472	657	98	578	497	35	66	514	626	28	449	33	35	419	583	504	490	427	45	200	108	420	64	201	34	24	13	512	15	19	32	23	167	311	287	448	465	484	27	500	701	78	548	330	812	40	514	685	857	902	45	652	416	82	532	91	21	371	34	109	383	374	457	729	48	90	539	655	297	68	590	386	72	433	361	158	41	513	584	491	481	437	340	124	Bacillus
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	310	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Brachybacterium
ASV_11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	562	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Leifsonia
ASV_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sphingopyxis
ASV_13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	1	0	0	0	0	0	1	1	2	0	0	1	2	0	1	0	2	0	0	0	0	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Microbacterium
ASV_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	2	3	757	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Novosphingobium
ASV_15	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	798	0	0	0	0	0	0	0	5	1	3	3	0	0	0	0	0	0	0	0	2	0	1	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Arthrobacter
ASV_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	69	0	0	389	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cupriavidus
ASV_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	461	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sphingomonas
ASV_18	0	0	3	2	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pannonibacter
