Sample	readssum	SampleID	library	plate	well	row	num
R10P10A12	388	R10P10A12	R10	P10	Negative	A	12
R11P11A12	180	R11P11A12	R11	P11	Negative	A	12
R12P12A12	427	R12P12A12	R12	P12	Negative	A	12
R13P13A12	37	R13P13A12	R13	P13	Negative	A	12
R14P14A12	23	R14P14A12	R14	P14	Negative	A	12
R15P15A12	81	R15P15A12	R15	P15	Negative	A	12
R16P16A12	12	R16P16A12	R16	P16	Negative	A	12
R1P1A12	167	R1P1A12	R1	P1	Negative	A	12
R2P2A12	4	R2P2A12	R2	P2	Negative	A	12
R3P3A12	13	R3P3A12	R3	P3	Negative	A	12
R4P4A12	54	R4P4A12	R4	P4	Negative	A	12
R5P5A12	32	R5P5A12	R5	P5	Negative	A	12
R6P6A12	329	R6P6A12	R6	P6	Negative	A	12
R7P7A12	271	R7P7A12	R7	P7	Negative	A	12
R8P8A12	296	R8P8A12	R8	P8	Negative	A	12
R9P9A12	226	R9P9A12	R9	P9	Negative	A	12
R10P10B12	440	R10P10B12	R10	P10	Positive	B	12
R11P11B12	396	R11P11B12	R11	P11	Positive	B	12
R12P12B12	486	R12P12B12	R12	P12	Positive	B	12
R13P13B12	50	R13P13B12	R13	P13	Positive	B	12
R14P14B12	139	R14P14B12	R14	P14	Positive	B	12
R15P15B12	62	R15P15B12	R15	P15	Positive	B	12
R16P16B12	32	R16P16B12	R16	P16	Positive	B	12
R1P1B12	202	R1P1B12	R1	P1	Positive	B	12
R2P2B12	12	R2P2B12	R2	P2	Positive	B	12
R3P3B12	183	R3P3B12	R3	P3	Positive	B	12
R4P4B12	103	R4P4B12	R4	P4	Positive	B	12
R5P5B12	46	R5P5B12	R5	P5	Positive	B	12
R6P6B12	456	R6P6B12	R6	P6	Positive	B	12
R7P7B12	720	R7P7B12	R7	P7	Positive	B	12
R8P8B12	261	R8P8B12	R8	P8	Positive	B	12
R9P9B12	72	R9P9B12	R9	P9	Positive	B	12
