OTUID	Mean	R10P10A07	R10P10A10	R10P10B03	R10P10B04	R10P10B10	R10P10B12	R10P10C03	R10P10C04	R10P10C05	R10P10C07	R10P10C10	R10P10C11	R10P10D02	R10P10D04	R10P10D05	R10P10D09	R10P10D10	R10P10E09	R10P10E10	R10P10E11	R10P10F10	R10P10F11	R10P10FO2	R10P10G10	R10P10H01	R10P10H02	R10P10H04	R10P10H09	R11P11A11	R11P11B10	R11P11C07	R11P11C10	R11P11C11	R11P11D02	R11P11E11	R12P12A02	R12P12A04	R12P12A05	R12P12A06	R12P12A08	R12P12A10	R12P12A11	R12P12A12	R12P12B03	R12P12B04	R12P12B12	R12P12BO1	R12P12C01	R12P12C03	R12P12C04	R12P12C05	R12P12C07	R12P12C10	R12P12C11	R12P12D01	R12P12D02	R12P12D03	R12P12D04	R12P12D07	R12P12D09	R12P12D10	R12P12E01	R12P12E03	R12P12E04	R12P12E07	R12P12E08	R12P12E09	R12P12E10	R12P12E12	R12P12F04	R12P12F09	R12P12F10	R12P12FO2	R12P12G02	R12P12G03	R12P12G04	R12P12G06	R12P12G07	R12P12G10	R12P12H02	R12P12H03	R12P12H04	R12P12H06	R12P12H09	R12P12H10	R12P12H11	R13P13A04	R13P13B10	R13P13B11	R13P13C04	R13P13C07	R13P13C10	R13P13C11	R13P13D04	R13P13D09	R13P13D10	R13P13E09	R13P13E10	R13P13F04	R13P13F10	R13P13FO2	R13P13G02	R13P13G06	R13P13G09	R13P13G10	R13P13H01	R13P13H06	R13P13H09	R13P13H10	R14P14B04	R14P14C03	R14P14C04	R14P14C07	R14P14D04	R14P14G10	R15P15A03	R15P15A07	R15P15B04	R15P15C01	R15P15C04	R15P15C07	R15P15C10	R15P15D02	R15P15D03	R15P15D04	R15P15D07	R15P15D09	R15P15E01	R15P15E04	R15P15E09	R15P15E10	R15P15F04	R15P15F10	R15P15H04	R15P15H06	R15P15H10	R16P16A04	R16P16A07	R16P16B03	R16P16C04	R16P16C05	R16P16C07	R16P16D02	R16P16D03	R16P16D07	R16P16E01	R16P16F04	R16P16H03	R1P1A04	R1P1A05	R1P1D01	R1P1E01	R1P1E04	R1P1F04	R1P1G02	R1P1G04	R1P1G06	R1P1H04	R2P2G02	R3P3C01	R3P3D10	R3P3H01	R5P5C11	R6P6B10	R6P6B12	R6P6D04	R6P6E11	R6P6G07	R6P6G10	R7P7A05	R7P7A11	R7P7B12	R7P7D09	R7P7E01	R7P7F10	R7P7G10	R7P7H06	R8P8A04	R8P8A11	R8P8B04	R8P8B10	R8P8C04	R8P8C07	R8P8C08	R8P8C10	R8P8C11	R8P8D07	R8P8D10	R8P8D11	R8P8E01	R8P8E07	R8P8E08	R8P8E10	R8P8E11	R8P8F03	R8P8F04	R8P8F08	R8P8F09	R8P8F10	R8P8G02	R8P8G06	R8P8G10	R8P8H01	R8P8H02	R8P8H04	R8P8H06	R8P8H07	R9P9A04	R9P9A10	R9P9A11	R9P9B03	R9P9B04	R9P9B11	R9P9C01	R9P9C03	R9P9C07	R9P9C10	R9P9C11	R9P9D07	R9P9E10	R9P9E11	R9P9F10
ASV_1	1	96.8903	41.0419	68.1452	90.7648	19.3016	95	38.2418	80.3835	49.03	97.3659	68.2759	81.6514	97.074	83.9552	98.6111	82.127	97.2441	95.6007	96.319	96.8273	97.2779	7.1298	78.4314	93.0886	42.7817	24.0481	96.2293	24.7227	99.3266	99.297	27.0541	98.9813	98.9922	98.9035	96.473	13.1746	56.7198	95.2286	76.2821	97.18	97.9021	97.2449	97.6581	96.9055	95.6477	97.9424	98.2103	98.6335	94.6457	30.2464	93.4911	98.2164	98.8278	96.8062	96.945	97.6834	95.4545	75.9784	97.6505	97.6462	98.2609	94.4351	97.2632	97.6012	10.9783	73.928	98.4043	98.2546	9.9099	94.5378	95.7576	98.0574	97.6602	97.78	14.6881	59.5376	84.8998	94.7137	96.0725	96.7283	49.284	95.0577	96.3836	96.5699	96.8581	98.1609	18.8641	98.7365	97.8972	97.3568	98.9247	31.1765	97.557	93.3486	98.731	97.3529	98.9488	99.2236	42.4119	99.2867	98.1096	94.5455	98.4962	99.0698	97.6821	16.844	98.3158	9.5597	71.7105	95.9693	13.8315	76.6337	96.2687	9.8456	97.5952	99.1247	99.3182	95.0893	99	98.5751	98.1191	98.5859	98.3607	13.9808	94.8478	99.4633	98.2571	11.9253	8.4596	99.1071	98.8743	93.7117	99.095	13.273	97.6744	98.3271	86.7675	6.2619	98.5386	97.4777	20.1232	95.5372	97.2603	4.3157	10.5263	99.0366	98.5827	5.4054	95.3291	5.7692	6.3406	94.1573	99.1497	87.8049	93.3333	89.8947	7.4503	44.5434	17.561	98.3607	7.3733	43.2258	5.1829	3.5768	2.8509	96.2406	2.5467	3.7924	6.5306	3.0914	26.5079	43.1944	59.9165	92.3711	90.2913	91.6667	3.5857	82.3723	95.896	4.7301	95.972	67.7618	90.3226	6.2794	92.9476	94.8753	94.9059	96.6774	8.3026	67.6349	81.7289	9.8204	97.7941	18.7243	4.5652	68.0734	5.8925	6.2716	58.0303	79.2373	95.2083	94.0645	4.6332	17.6471	90.4362	65.3041	58.8119	8.4788	98.3333	85.2097	14.3713	91.9321	82.9885	35.1111	7.3214	95.3532	97.01	95.8984	98.1633	66.8196	72.3404	27.1335
ASV_2	0.0942365643631188	0	0	0	0.2886	0	0	0.2198	0	0.3527	0	0	0.7645	0.8606	0.2488	0	0	0.1969	0	0	0.235	0	0	0	0.6479	0	0.4008	0.6033	0.1585	0	0	0	0.5093	0.112	0.2193	0	0	2.0501	0.7952	0	0.6508	0.1399	0.3061	0.2342	0.1629	0	0	0	0	0.6299	0.3398	0.3945	0	0.1803	1.1013	1.222	0.9653	0.627	0.5398	0.5874	0.8352	0.5217	0.3373	0.8421	0.4498	86.3043	15.4374	0.4433	0.1027	85.8108	1.6807	0.9091	0.185	0.5086	0.6054	1.6097	0.4817	1.5408	1.5419	1.007	0.7112	0.4773	0.3295	0.1572	0.2639	1.1918	0	0.2028	0	0	0.2203	0.1792	0	0.4886	0.9174	0.1269	1.0294	0.3942	0.1553	38.8889	0.1427	0.5671	1.0101	0.5639	0	0.6623	0	0	0.1258	0.2193	0.1919	0	0	0	0	1.4028	0.2188	0.2273	0.6696	0.2	0.1295	0.627	0	0.7286	0.2134	1.6393	0.1789	0.2179	0.2874	89.7727	0.6696	0	3.5276	0.2262	81.2971	0.8945	0.3717	0	0	0	0.2967	0	0	0.5871	0.2466	0.1595	0.1927	0.4724	0.1931	1.9108	92.6573	87.6812	0.6742	0.5102	6.2718	3.2381	4.4211	90.7285	1.1136	0	0	87.5576	0	91.1585	0.149	0.8772	0.9398	18.1664	94.8104	0.6122	93.9516	0	0	0.4175	0.2062	0.3883	1.5152	0.664	0.8237	0.2736	0.0606	1.0508	0.616	1.1123	0.6279	1.4467	0.4155	0.443	2.0364	0.1845	0.9336	0.9823	80.1198	0	0.4115	0	2.7523	90.4679	92.29	27.8788	1.4831	1.4583	2.4516	0.3861	0.9804	2.349	0.4985	0.7921	0.2494	0	0	0	0.4246	1.6092	0	28.5714	0.5576	0	0.7812	0	0.1529	0.2128	0.2188
ASV_3	0.0922482962745392	0.982	34.3075	9.0726	3.4632	3.1111	2.5	43.956	6.6372	29.6296	0.5854	6.6667	5.1988	1.0327	4.8507	0.3968	8.5672	1.5748	2.1997	1.3804	2.3502	1.1461	0.7313	7.6797	1.2959	34.6831	9.8196	1.81	45.4834	0.3367	0.3515	0.8016	0.1698	0	0	1.4523	83.1746	11.1617	1.3917	7.8526	1.0846	0.979	0.7143	0.4684	0.4886	0.4145	0.2058	1.3423	0.4969	0.6299	0.5947	0.5917	0.4756	0.2705	0.4405	1.222	0	0.627	10.1215	0.7342	0.3037	0.5217	1.855	0.8421	0.4498	0.5435	0.1715	0.3546	0.4107	0	0.9454	1.2121	0.7401	0.6104	0.5045	1.2072	0	2.0031	1.5419	0.6042	0.7112	0.358	0.8237	2.044	0.9235	0.6501	0.6897	0.8114	0	0.7009	0.6608	0.1792	0.5882	0.1629	0.2294	0.2538	0	0.1314	0.3106	1.2195	0.2853	0.5671	1.4141	0	0.2326	0.1656	0.8865	0.4211	85.4088	9.4298	0.1919	0.159	0	0.1866	0	0.2004	0	0	0.4464	0.2	0.1295	0	0	0	0	0.2342	0	0.2179	0.431	0	0	0.5629	0.4601	0	0	0.1789	0	0	0	0.4175	0.2967	0	0	0	0	0	0.1927	0.6299	0	1.4862	0.8741	0.3623	2.4719	0	1.0453	0.9524	0	0.3311	1.1136	48.4553	0.2342	0.4608	18.0645	0	0.8942	87.9386	0.7519	65.7046	1.1976	3.2653	0.672	0.9524	0.9722	2.2965	3.5052	2.9126	3.2197	91.3679	5.2718	1.6416	34.2632	0.7005	6.1602	2.8921	86.8132	1.085	0.9695	0.7752	0.2144	0.369	22.3029	6.6798	1.3174	0.3676	2.6749	1.3043	3.6697	2.4263	0.3452	1.3636	3.178	0.625	0.5161	1.4479	65.2941	2.1812	1.1964	2.1782	90.5237	0.6667	4.1943	74.0519	2.5478	8.9655	34.2222	45.8929	1.6729	1.3289	1.5625	0.4082	0.4587	7.4468	44.6389
ASV_5	0.0315100952617651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1834	0	0.2705	0	0	0	1.2539	0	0	0	0	0	0	0	0	0.1715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1193	0	0	0	0	0	0	0	0	0	0	67.3529	1.3029	0	0.2538	1.1765	0.1314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2591	0	1.0101	0.3643	85.5923	0.9368	0	0	0	0.1263	0	0	0	0.2262	0	0	0	0.5671	0.1898	0.2088	0	78.4394	0.1653	0.1957	0.8631	0	0	0	0.1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188	0	0	0	0	0	0	0.2088	0	0	0	0	2.3064	0.4104	0.1819	0.3503	1.0267	0.2225	0	1.9892	0.277	0.2215	0.3215	90.0369	0.2075	0.1965	0.479	0.1838	39.7119	93.913	18.3486	0	0.1151	0	0	0.4167	0.5161	0.0965	0	0.1678	0.0997	0	0.1247	0	0	0	0	0	0	0	0	0	0	0	0	0.2128	0
ASV_4	0.0262555884736936	0	0	0	0.5772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216	0	0	0	0	0	0	0	0	0	0	0	0	3.1891	0.5964	0.3205	0	0.1399	0.102	0	0	1.8653	0	0	0	0.6299	0	2.9586	0	0.1803	0.1101	0	0.1931	0.3135	0.5398	0.7342	0	0.1739	0.3373	0	0.5997	0	0.5146	0	0.1027	0	0.2101	0	0.185	0	0	79.0744	38.5356	0.3082	0	0.6042	0.1422	13.7232	1.8122	0	0.1319	0	0	0	0.361	0	0	0.1792	0	0	0	0	0	0	0	0	0	0	0	0.188	0	1.1589	0.1773	0	0	0	0.5758	0	0.198	0.1866	0	0	0	0	0.2232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1508	0	0	0.189	0.759	0.2088	0.1484	0.8214	2.6446	0.5871	0.2466	88.3573	0.1927	0	0.3861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.3673	0.4032	0	0.1389	0	0	0	0	0.7968	0.1647	0.1368	59.7938	0	13.963	0	0	0	0.1385	0.1107	0	0	0	0	0	0.1838	0	0	0.367	0	0	0	0	0.4167	0.5161	0	0	0	0	0	0	0	0	0	0.2123	0	0	0	0	0	0	0	0	0	0
ASV_9	0.0108916986983057	0.1637	0	0	0	0	0	0.4396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.6645	15.8416	1.8657	0.1931	0.4008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.3226	0	0	0	0.3306	0.1957	0.1233	0	0	0	0.3861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2981	0	0.188	0	0	0.4082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2581	0	0	0	0	0.198	0	0	0	0	0	0	0	0.1786	0	0	0	0	0	0	0
ASV_6	0.00983684339846982	0	0	1.0081	0	0	0.4545	5.2747	0.1475	0	0	0.1149	0.3058	0	0.1244	0	0.2954	0	0	0	0	0	90.6764	0	0	0	0	0.6033	0	0	0	0	0	0	0	0	0	11.6173	0	0	0	0.1399	0	0.7026	0	0	0	0	0	0	0.085	0	0	0	0	0	0	0	0.2699	0	0.1519	0	0	0	0	0	0.1715	0	0	0	0	0	0	0	0	0	0.0963	0	0	0	0	0	0	0	0	0	0	0.4057	0	0.7009	0	0	0	0.3257	0	0.1269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1534	0	0	0.1789	0	0.5671	0	0.4175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188	0	0	0	0	0	0	34.8643	0	0	0	0	0	0	0.0606	0	0	0	0	0	0.4155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1661	0.3906	0	0	0	3.2823
ASV_18	0.00859700008755158	0	0	0.6048	0.2886	0	0	0.8791	0	0.1764	0	0	0	0	0.1244	0	0	0	0	0	0	0	0	0	0	0	61.523	0	0	0	0	71.1423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	0.00851792124311943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.404	0	0	0	0	0	66.523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1957	0	0	0	0	0	0	0	0	0.4494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1328	0	0	0.0606	0	0.2053	0	0	0	0	0	0	0	0.1037	0	0	0	0	0	0	0	0	0	0.2119	0.2083	0	0	0.1961	0	30.9073	33.6634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	0.00710579902111688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3175	0	0	0	0	0	0.2041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3135	0.135	0	0.1519	0	0	0	0	0.1087	0.1715	0	0	0	0	0	0	0	0	0.4024	0	0	0	0	0	34.8449	0.9885	0.1572	0.3958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1789	0	0	1.518	0	0	0	0.3306	0	0.2466	0	0	0.1575	0.3861	0	0	0	0	0	0	0	0	0	0	0	0	0.2304	0	0	0	0	0	0	0	0	0	68.5714	0.2778	0	0	0	0	0.3984	0	0.1368	0	0	0	0	0	0	0	0	0	0	0	0.7859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
