Gene	CC_1	CC_2	CC_3	CI_1	CI_2	CI_3	SC_1	SC_2	SI_1	SI_2	SI_3	Symbol	Chromosome	Genetype	Description
ENSMUSG00000036199.8	319.42	290.07	303.64	235.59	320.29	291.69	232.45	306.96	237.6	279.26	313.47	Ndufa13	chr8	protein_coding	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13
ENSMUSG00000047434.11	2.39	4.15	4.1	3.14	2.97	3.33	3.3	3.07	3.56	3.85	4.82	Xxylt1	chr16	protein_coding	xyloside xylosyltransferase 1
ENSMUSG00000084086.1	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.05	0.0	0.0	Gm5761	chrX	processed_pseudogene	predicted gene 5761
ENSMUSG00000084145.3	0.07	0.03	0.03	0.06	0.03	0.02	0.03	0.0	0.14	0.02	0.0	Gm12263	chr11	processed_pseudogene	predicted gene 12263
ENSMUSG00000085012.1	0.08	0.07	0.17	0.0	0.07	0.06	0.14	0.13	0.07	0.12	0.07	Gm15492	chr6	antisense	predicted gene 15492
ENSMUSG00000029014.12	5.94	6.1	6.14	5.94	6.32	6.29	6.48	6.78	5.22	5.93	6.48	Dnajc2	chr5	protein_coding	DnaJ (Hsp40) homolog, subfamily C, member 2
ENSMUSG00000092730.1	2.65	0.32	1.17	0.71	2.53	1.71	0.33	1.77	0.32	1.9	1.55	Snora24	chr3	snoRNA	small nucleolar RNA, H/ACA box 24
ENSMUSG00000025056.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.02	Nr0b1	chrX	protein_coding	nuclear receptor subfamily 0, group B, member 1
ENSMUSG00000021974.12	1.16	1.37	1.36	1.22	1.03	1.52	1.64	1.47	1.46	1.55	1.34	Fgf9	chr14	protein_coding	fibroblast growth factor 9
ENSMUSG00000032268.11	0.07	0.03	0.05	0.06	0.11	0.16	0.07	0.07	0.13	0.13	0.14	Tmprss5	chr9	protein_coding	transmembrane protease, serine 5 (spinesin)
ENSMUSG00000097305.1	1.93	2.4	1.83	1.76	2.11	2.21	1.66	1.6	1.61	2.24	2.33	Gm17276	chr17	lincRNA	predicted gene, 17276
ENSMUSG00000078380.1	0.22	0.09	0.22	0.2	0.0	0.0	0.19	0.08	0.0	0.15	0.0	Gm6096	chr7	protein_coding	predicted gene 6096
ENSMUSG00000002319.13	9.05	6.92	7.03	7.72	8.0	7.54	9.45	6.41	10.77	7.18	8.83	Ipo4	chr14	protein_coding	importin 4
ENSMUSG00000029569.7	2.83	4.2	4.08	2.83	4.02	3.56	4.2	4.71	3.33	4.08	3.74	Tmem168	chr6	protein_coding	transmembrane protein 168
ENSMUSG00000022766.10	0.11	0.21	0.28	0.15	0.17	0.29	0.06	0.02	0.06	0.26	0.07	Serpind1	chr16	protein_coding	serine (or cysteine) peptidase inhibitor, clade D, member 1
ENSMUSG00000085538.1	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.05	Gm11455	chr2	antisense	predicted gene 11455
ENSMUSG00000033885.12	8.04	9.45	9.0	7.95	8.78	8.2	8.84	9.36	8.71	8.01	9.37	Pxk	chr14	protein_coding	PX domain containing serine/threonine kinase
ENSMUSG00000037416.10	1.98	3.28	3.15	3.24	2.4	2.77	3.56	3.41	3.12	3.22	2.75	Dmxl1	chr18	protein_coding	Dmx-like 1
ENSMUSG00000102914.1	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	Gm35106	chr3	processed_pseudogene	predicted gene, 35106
ENSMUSG00000028478.16	28.92	32.22	30.61	23.55	35.29	32.77	26.7	34.99	26.81	31.86	34.59	Clta	chr4	protein_coding	clathrin, light polypeptide (Lca)
ENSMUSG00000022443.14	18.21	20.39	19.19	15.16	23.11	24.14	15.94	15.75	19.14	21.58	29.34	Myh9	chr15	protein_coding	myosin, heavy polypeptide 9, non-muscle
ENSMUSG00000044400.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	Sowahd	chrX	protein_coding	sosondowah ankyrin repeat domain family member D
ENSMUSG00000015189.10	4.68	6.77	6.73	6.08	6.53	5.6	6.76	7.7	7.39	7.16	6.54	Casd1	chr6	protein_coding	CAS1 domain containing 1
ENSMUSG00000085412.5	1.21	0.69	0.26	0.94	0.8	1.17	0.57	1.25	0.25	1.4	0.66	Halr1	chr6	lincRNA	Hoxa adjacent long noncoding RNA 1
ENSMUSG00000021730.7	0.04	0.21	0.14	0.24	0.31	0.18	0.21	0.76	0.96	0.59	0.01	Hcn1	chr13	protein_coding	hyperpolarization-activated, cyclic nucleotide-gated K+ 1
ENSMUSG00000069267.2	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	Hist1h3b	chr13	protein_coding	histone cluster 1, H3b
ENSMUSG00000081496.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.19	0.0	Gm13428	chr2	processed_pseudogene	predicted gene 13428
